省,市,县,观测时间,温度(℃),相对湿度,降水量(mm),风向,风力(m/s),经度,纬度
江苏,苏州,张家港,2015120902,9,87,0,102,3,120.55,31.87
江苏,苏州,张家港,2015120903,7,86,0,106,3,120.55,31.87
江苏,苏州,张家港,2015120904,8,82,0,102,2,120.55,31.87
江苏,苏州,张家港,2015120905,10,86,0,96,4,120.55,31.87
江苏,苏州,张家港,2015120906,11,87,0,112,5,120.55,31.87
江苏,苏州,张家港,2015120907,11,87,0,120,4,120.55,31.87
江苏,苏州,张家港,2015120908,11,86,0,117,4,120.55,31.87
江苏,苏州,张家港,2015120909,10,79,0,115,1,120.55,31.87
江苏,苏州,张家港,2015120910,11,79,0,135,0,120.55,31.87
江苏,苏州,张家港,2015120911,13,88,0.2,130,0,120.55,31.87
江苏,苏州,张家港,2015120912,11,90,0.2,999999,0,120.55,31.87
江苏,苏州,张家港,2015120913,10,92,0.5,126,0,120.55,31.87
江苏,苏州,张家港,2015120914,12,96,0.6,137,2,120.55,31.87
江苏,苏州,张家港,2015120915,10,95,0.5,109,1,120.55,31.87
江苏,苏州,张家港,2015120916,12,98,1.2,97,2,120.55,31.87
江苏,苏州,张家港,2015120917,10,97,1.6,108,1,120.55,31.87
江苏,苏州,张家港,2015120918,10,97,1.3,108,1,120.55,31.87
江苏,苏州,张家港,2015120919,12,99,1.7,83,0,120.55,31.87
江苏,苏州,张家港,2015120920,10,97,2,90,0,120.55,31.87
江苏,苏州,张家港,2015120921,10,98,2.9,328,0,120.55,31.87
江苏,苏州,张家港,2015120922,10,98,2.9,9,0,120.55,31.87
江苏,苏州,张家港,2015120923,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121000,10,98,1.7,307,1,120.55,31.87
江苏,苏州,张家港,2015121001,10,98,1.2,293,0,120.55,31.87
江苏,苏州,张家港,2015121002,12,100,0.6,316,3,120.55,31.87
江苏,苏州,张家港,2015121003,12,100,0.2,299,5,120.55,31.87
江苏,苏州,张家港,2015121004,12,100,0.5,318,4,120.55,31.87
江苏,苏州,张家港,2015121005,12,100,0.2,299,4,120.55,31.87
江苏,苏州,张家港,2015121006,10,97,0.3,315,3,120.55,31.87
江苏,苏州,张家港,2015121007,10,97,0.5,309,2,120.55,31.87
江苏,苏州,张家港,2015121008,10,97,0.1,313,3,120.55,31.87
江苏,苏州,张家港,2015121009,10,97,0.7,305,3,120.55,31.87
江苏,苏州,张家港,2015121010,12,98,0.2,303,6,120.55,31.87
江苏,苏州,张家港,2015121011,12,98,0.1,303,7,120.55,31.87
江苏,苏州,张家港,2015121012,12,98,0.4,287,5,120.55,31.87
江苏,苏州,张家港,2015121013,10,97,0.1,308,2,120.55,31.87
江苏,苏州,张家港,2015121014,9,97,0.1,315,5,120.55,31.87
江苏,苏州,张家港,2015121015,12,99,0.4,310,5,120.55,31.87
江苏,苏州,张家港,2015121016,9,97,0.1,319,4,120.55,31.87
江苏,苏州,张家港,2015121017,10,97,0.3,287,3,120.55,31.87
江苏,苏州,张家港,2015121018,12,98,0,317,7,120.55,31.87
江苏,苏州,张家港,2015121019,12,98,0.1,323,7,120.55,31.87
江苏,苏州,张家港,2015121020,11,98,0.2,312,4,120.55,31.87
江苏,苏州,张家港,2015121021,9,96,0.6,304,3,120.55,31.87
江苏,苏州,张家港,2015121022,11,99,0.5,307,7,120.55,31.87
江苏,苏州,张家港,2015121023,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121100,11,97,0.1,311,5,120.55,31.87
江苏,苏州,张家港,2015121101,11,96,0.2,308,5,120.55,31.87
江苏,苏州,张家港,2015121102,11,95,0,330,8,120.55,31.87
江苏,苏州,张家港,2015121103,10,97,0,340,4,120.55,31.87
江苏,苏州,张家港,2015121104,8,90,0,349,3,120.55,31.87
江苏,苏州,张家港,2015121105,10,91,0,338,3,120.55,31.87
江苏,苏州,张家港,2015121106,10,91,0,345,8,120.55,31.87
江苏,苏州,张家港,2015121107,7,87,0,335,5,120.55,31.87
江苏,苏州,张家港,2015121108,9,87,0,352,5,120.55,31.87
江苏,苏州,张家港,2015121109,7,85,0,354,1,120.55,31.87
江苏,苏州,张家港,2015121110,9,84,0,337,4,120.55,31.87
江苏,苏州,张家港,2015121111,9,79,0,319,4,120.55,31.87
江苏,苏州,张家港,2015121112,8,74,0,317,4,120.55,31.87
江苏,苏州,张家港,2015121113,8,72,0,328,2,120.55,31.87
江苏,苏州,张家港,2015121114,10,71,0,301,4,120.55,31.87
江苏,苏州,张家港,2015121115,8,65,0,328,3,120.55,31.87
江苏,苏州,张家港,2015121116,10,67,0,339,4,120.55,31.87
江苏,苏州,张家港,2015121117,7,65,0,16,1,120.55,31.87
江苏,苏州,张家港,2015121118,8,69,0,2,5,120.55,31.87
江苏,苏州,张家港,2015121119,5,68,0,15,2,120.55,31.87
江苏,苏州,张家港,2015121120,7,71,0,348,2,120.55,31.87
江苏,苏州,张家港,2015121121,6,73,0,14,2,120.55,31.87
江苏,苏州,张家港,2015121122,6,75,0,333,2,120.55,31.87
江苏,苏州,张家港,2015121123,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121200,3,78,0,317,1,120.55,31.87
江苏,苏州,张家港,2015121201,5,80,0,300,4,120.55,31.87
江苏,苏州,张家港,2015121202,3,79,0,316,0,120.55,31.87
江苏,苏州,张家港,2015121203,2,81,0,300,0,120.55,31.87
江苏,苏州,张家港,2015121204,2,82,0,307,1,120.55,31.87
江苏,苏州,张家港,2015121205,2,84,0,315,0,120.55,31.87
江苏,苏州,张家港,2015121206,4,89,0,304,2,120.55,31.87
江苏,苏州,张家港,2015121207,2,86,0,275,0,120.55,31.87
江苏,苏州,张家港,2015121208,3,83,0,329,0,120.55,31.87
江苏,苏州,张家港,2015121209,7,74,0,285,2,120.55,31.87
江苏,苏州,张家港,2015121210,9,68,0,358,3,120.55,31.87
江苏,苏州,张家港,2015121211,10,61,0,24,3,120.55,31.87
江苏,苏州,张家港,2015121212,11,58,0,36,2,120.55,31.87
江苏,苏州,张家港,2015121213,9,52,0,271,0,120.55,31.87
江苏,苏州,张家港,2015121214,10,51,0,89,0,120.55,31.87
江苏,苏州,张家港,2015121215,10,51,0,80,0,120.55,31.87
江苏,苏州,张家港,2015121216,11,57,0,80,4,120.55,31.87
江苏,苏州,张家港,2015121217,8,61,0,107,0,120.55,31.87
江苏,苏州,张家港,2015121218,6,71,0,99,0,120.55,31.87
江苏,苏州,张家港,2015121219,8,68,0,48,5,120.55,31.87
江苏,苏州,张家港,2015121220,8,81,0,95,2,120.55,31.87
江苏,苏州,张家港,2015121221,5,88,0,100,0,120.55,31.87
江苏,苏州,张家港,2015121222,4,92,0,92,0,120.55,31.87
江苏,苏州,张家港,2015121223,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121300,4,92,0,82,0,120.55,31.87
江苏,苏州,张家港,2015121301,6,97,0,353,0,120.55,31.87
江苏,苏州,张家港,2015121302,5,89,0,6,1,120.55,31.87
江苏,苏州,张家港,2015121303,7,92,0,17,3,120.55,31.87
江苏,苏州,张家港,2015121304,7,93,0,345,3,120.55,31.87
江苏,苏州,张家港,2015121305,7,89,0,359,3,120.55,31.87
江苏,苏州,张家港,2015121306,5,88,0,14,0,120.55,31.87
江苏,苏州,张家港,2015121307,7,93,0.4,28,2,120.55,31.87
江苏,苏州,张家港,2015121308,7,95,0.3,22,2,120.55,31.87
江苏,苏州,张家港,2015121309,8,92,0,353,2,120.55,31.87
江苏,苏州,张家港,2015121310,8,85,0,346,2,120.55,31.87
江苏,苏州,张家港,2015121311,10,79,0,16,2,120.55,31.87
江苏,苏州,张家港,2015121312,9,78,0,354,2,120.55,31.87
江苏,苏州,张家港,2015121313,9,83,0,323,4,120.55,31.87
江苏,苏州,张家港,2015121314,7,77,0,9,1,120.55,31.87
江苏,苏州,张家港,2015121315,7,83,0.5,314,1,120.55,31.87
江苏,苏州,张家港,2015121316,8,91,1.2,329,2,120.55,31.87
江苏,苏州,张家港,2015121317,8,91,0.5,315,3,120.55,31.87
江苏,苏州,张家港,2015121318,6,88,0,319,1,120.55,31.87
江苏,苏州,张家港,2015121319,6,87,0.1,339,1,120.55,31.87
江苏,苏州,张家港,2015121320,6,85,0,315,1,120.55,31.87
江苏,苏州,张家港,2015121321,8,84,0,294,3,120.55,31.87
江苏,苏州,张家港,2015121322,8,80,0,298,3,120.55,31.87
江苏,苏州,张家港,2015121323,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121400,6,76,0,298,1,120.55,31.87
江苏,苏州,张家港,2015121401,6,75,0,292,2,120.55,31.87
江苏,苏州,张家港,2015121402,6,74,0,294,3,120.55,31.87
江苏,苏州,张家港,2015121403,6,75,0,314,2,120.55,31.87
江苏,苏州,张家港,2015121404,7,71,0,308,6,120.55,31.87
江苏,苏州,张家港,2015121405,4,73,0,298,2,120.55,31.87
江苏,苏州,张家港,2015121406,4,65,0,301,1,120.55,31.87
江苏,苏州,张家港,2015121407,4,65,0,305,2,120.55,31.87
江苏,苏州,张家港,2015121408,6,66,0,305,5,120.55,31.87
江苏,苏州,张家港,2015121409,5,59,0,312,3,120.55,31.87
江苏,苏州,张家港,2015121410,6,59,0,306,5,120.55,31.87
江苏,苏州,张家港,2015121411,7,58,0,297,3,120.55,31.87
江苏,苏州,张家港,2015121412,9,61,0,310,4,120.55,31.87
江苏,苏州,张家港,2015121413,8,58,0,300,4,120.55,31.87
江苏,苏州,张家港,2015121414,8,53,0,319,5,120.55,31.87
江苏,苏州,张家港,2015121415,8,55,0,299,4,120.55,31.87
江苏,苏州,张家港,2015121416,10,56,0,327,4,120.55,31.87
江苏,苏州,张家港,2015121417,7,58,0,296,1,120.55,31.87
江苏,苏州,张家港,2015121418,9,63,0,316,3,120.55,31.87
江苏,苏州,张家港,2015121419,9,61,0,300,4,120.55,31.87
江苏,苏州,张家港,2015121420,9,61,0,334,5,120.55,31.87
江苏,苏州,张家港,2015121421,8,64,0,322,4,120.55,31.87
江苏,苏州,张家港,2015121422,6,64,0,349,2,120.55,31.87
江苏,苏州,张家港,2015121423,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121500,6,65,0,302,1,120.55,31.87
江苏,苏州,张家港,2015121501,5,63,0,308,2,120.55,31.87
江苏,苏州,张家港,2015121502,5,63,0,330,4,120.55,31.87
江苏,苏州,张家港,2015121503,7,66,0,288,3,120.55,31.87
江苏,苏州,张家港,2015121504,4,65,0,304,1,120.55,31.87
江苏,苏州,张家港,2015121505,4,65,0,307,2,120.55,31.87
江苏,苏州,张家港,2015121506,4,65,0,306,1,120.55,31.87
江苏,苏州,张家港,2015121507,4,65,0,325,2,120.55,31.87
江苏,苏州,张家港,2015121508,6,67,0,332,3,120.55,31.87
江苏,苏州,张家港,2015121509,5,63,0,301,2,120.55,31.87
江苏,苏州,张家港,2015121510,5,60,0,308,3,120.55,31.87
江苏,苏州,张家港,2015121511,8,57,0,315,4,120.55,31.87
江苏,苏州,张家港,2015121512,9,52,0,342,4,120.55,31.87
江苏,苏州,张家港,2015121513,10,50,0,319,4,120.55,31.87
江苏,苏州,张家港,2015121514,8,46,0,311,1,120.55,31.87
江苏,苏州,张家港,2015121515,10,48,0,2,3,120.55,31.87
江苏,苏州,张家港,2015121516,10,51,0,286,4,120.55,31.87
江苏,苏州,张家港,2015121517,7,47,0,304,0,120.55,31.87
江苏,苏州,张家港,2015121518,6,54,0,277,0,120.55,31.87
江苏,苏州,张家港,2015121519,6,70,0,281,0,120.55,31.87
江苏,苏州,张家港,2015121520,7,70,0,261,0,120.55,31.87
江苏,苏州,张家港,2015121521,4,67,0,284,0,120.55,31.87
江苏,苏州,张家港,2015121522,7,64,0,277,2,120.55,31.87
江苏,苏州,张家港,2015121523,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121600,5,50,0,323,4,120.55,31.87
江苏,苏州,张家港,2015121601,4,47,0,309,5,120.55,31.87
江苏,苏州,张家港,2015121602,5,50,0,319,6,120.55,31.87
江苏,苏州,张家港,2015121603,5,50,0,328,4,120.55,31.87
江苏,苏州,张家港,2015121604,3,49,0,320,5,120.55,31.87
江苏,苏州,张家港,2015121605,2,49,0,314,3,120.55,31.87
江苏,苏州,张家港,2015121606,2,53,0,318,1,120.55,31.87
江苏,苏州,张家港,2015121607,3,51,0,317,5,120.55,31.87
江苏,苏州,张家港,2015121608,2,40,0,336,4,120.55,31.87
江苏,苏州,张家港,2015121609,5,37,0,346,6,120.55,31.87
江苏,苏州,张家港,2015121610,6,33,0,347,8,120.55,31.87
江苏,苏州,张家港,2015121611,4,28,0,316,5,120.55,31.87
江苏,苏州,张家港,2015121612,5,22,0,324,4,120.55,31.87
江苏,苏州,张家港,2015121613,5,25,0,326,6,120.55,31.87
江苏,苏州,张家港,2015121614,5,26,0,316,10,120.55,31.87
江苏,苏州,张家港,2015121615,6,28,0,326,9,120.55,31.87
江苏,苏州,张家港,2015121616,4,28,0,330,8,120.55,31.87
江苏,苏州,张家港,2015121617,5,35,0,305,6,120.55,31.87
江苏,苏州,张家港,2015121618,2,38,0,323,5,120.55,31.87
江苏,苏州,张家港,2015121619,2,36,0,316,4,120.55,31.87
江苏,苏州,张家港,2015121620,2,38,0,311,4,120.55,31.87
江苏,苏州,张家港,2015121621,1,40,0,315,3,120.55,31.87
江苏,苏州,张家港,2015121622,1,42,0,308,5,120.55,31.87
江苏,苏州,张家港,2015121623,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015121700,0,41,0,308,3,120.55,31.87
江苏,苏州,张家港,2015121701,2,44,0,307,6,120.55,31.87
江苏,苏州,张家港,2015121702,-1,44,0,312,2,120.55,31.87
江苏,苏州,张家港,2015121703,-1,46,0,304,3,120.55,31.87
江苏,苏州,张家港,2015121704,-1,47,0,307,2,120.55,31.87
江苏,苏州,张家港,2015121705,1,50,0,298,5,120.55,31.87
